Category,Edge Case,Our Response,Example Business,Example ABN,Example Detail
Licence,"Trade that doesn't require licensing (e.g. fencer, landscaper, handyman)","Licence lookup skipped entirely for non-licensed trades. Proceeds directly to service discovery without licence data.","Tony Broughton (Handyman, Yanchep WA); Maxy Property Maintenance (Handyman, Caulfield VIC)",96518511043; 98414695646,_STATE_LICENCE_CONFIG only has entries for licensed trades. No-licence trades flow straight through.
Licence,Expired or suspended licence,"match_licence() checks licence status. If expired/suspended, noted in licence_info but not blocked — business may still be renewing. LLM mentions it conversationally.",N/A — depends on live licence register data,,Licence status from API response passed through to state.
Web Presence,"Full presence: website with services, logo, gallery, plus Google Business Profile","Google Places searched first (website, reviews, photos, phone). Website scraped for logo + work photos. AI filter (Haiku vision) classifies images as WORK/SKIP. Reviews + website text fed into evidence keyword scanning for service mapping.","Rainman Plumbing (rainmanplumbing.com.au, 708 reviews); Xtreme floor care (xtremefloorcare.com.au, 535 reviews)",62931627641; 49791299019,Happy path: richest data for profile builder. Photos filtered by AI before display.
Web Presence,"Social-only: no website, but active Instagram and/or Facebook with work photos","When no website found, Brave searches site:instagram.com OR site:facebook.com. Filters by distinctive name words (excludes generic trade words). Presents candidates: ""Is this yours?"" User confirms before scraping.","Berrima Bridge Horticulture (Facebook-only website in contacts)",22624220257,"Verified-only sourcing: never scrape unverified URLs. User must confirm social profile ownership."
Web Presence,Google Business Profile only: just a GMB listing with reviews,"Google Places Text Search returns reviews, rating, phone, suburb, photos even without a website. Reviews used for evidence scanning. Photos available for profile if user approves.","Jim's Antennas Lynbrook (141 jobs, 50 reviews, no website)",66658178182,Google Places is primary data source — website is supplementary.
Web Presence,Ghost: absolutely nothing online (new business or never set anything up),"No website discovered, no Google Places match, no social profiles found. Profile builder generates description from ABN/licence data only. Monogram shown instead of logo. User can upload their own photos.","KURMA VENKATA RAJ SHEKHAR (Photographer, no city, no website, 0 reviews); TOMEH PAINTING PTY LTD (Painter, 0 everything)",98452332950; 60635439888,"187,028 ghost businesses in contacts (70% of dataset). Monogram fallback via getInitials()."
Web Presence,Misleading results: common business name pulling wrong company's assets,"Google Places name matching requires 50% word overlap (not just 1 shared word) — prevents wrong-business data. Brave URL validation uses distinctive name words only. Brave query includes ""Australia"" to reduce US results. LLM classifier as final safety net: even if wrong Google data slips through, Haiku reads the content and correctly identifies trade vs non-trade.","Broughton Construction Company → Google returned Smith Broughton Auctioneers (1/3 word overlap = discarded); ABC Electric Services vs ABC Electric Pty Ltd",37137808989,"Multi-layer: (1) Google name overlap ≥50%, (2) Brave distinctive words, (3) LLM classifier reads actual content. Old system: ""electric winches"" on auction site → falsely detected as Electrician."
Trade Type,Straightforward single-trade operator (e.g. domestic electrician),"Single category detected → bulk mapping adds all subcategories from service_tiers.json. Only specialist ask items questioned. Fastest path through service discovery (often 2-3 turns).","True Blue Electrical Australia (Electrician only, 208 jobs, 5.0 stars); XCEED Electrical Contractors",60812563647; 77900949471,Cleanest onboarding path. Bulk mapping handles everything.
Trade Type,"Multi-trade operator (e.g. builder who also does carpentry, tiling, project management)","Multiple categories detected from licence/Google/name. Each category bulk-mapped independently. Related category suggestions offer co-occurrence-based additions. LLM clusters specialist gaps across all categories.","Manno Plumbing (10 industries including Builder, Plumber, Gas Fitter, Gardener, Roofer); Maxy Property Maintenance (6 industries)",40787453731; 98414695646,"Stress test for service discovery. 10-industry operators generate many specialist gaps — adaptive fallback triggers multi-select UI earlier."
Trade Type,"Adjacent trade scenario (e.g. plumber who also does gas fitting and roofing)","Adjacent trades appear in related_categories.json co-occurrence data. After primary category mapping, system suggests related categories (e.g. Gas Fitter for Plumber). Accepted categories get bulk-mapped too.","Rhino Plumbing (Plumber + Gas Fitter + Bathroom Reno, 853 jobs); AABAA Electrical (Electrician + Solar + Security + Lighting, 712 jobs)",12609001943; 34149056502,"Very common pattern. Related category suggestions powered by analyse_categories.py co-occurrence data from real SS businesses."
Trade Type,"Deep specialist (e.g. not a general electrician but specifically solar/EV charging)","Specialist ask items in service_tiers.json checked against evidence (reviews/website/Brave). If evidence found (e.g. ""solar"" in reviews), auto-mapped as source:evidence. If not, LLM asks specifically about specialist services.","Pool Fence Solutions (Carpenter + Fencing niche, 5.0 stars); First and Last Reblocking (Builder but niche underpinning specialist)",53990690916; 88643973575,"Specialists often listed under broader Industry categories. Evidence scanning catches niche keywords from reviews/website."
Trade Type,"Generalist with shallow coverage (e.g. handyman who does a bit of everything)","Handyman tier in service_tiers.json covers broad range. Bulk mapping adds general handyman subcats. Specialist gaps asked via LLM clustering. Adaptive fallback prevents too many questions for broad-but-shallow operators.","Maxy Property Maintenance (Handyman primary, 1131 jobs, 134 reviews); Tony Broughton (Handyman, Yanchep WA, 3 jobs)",98414695646; 96518511043,"Top handyman businesses actually list it alongside primary trade. Bulk mapping handles breadth; specialist Qs handle depth."
Service Area,Hyperlocal: works in 3-4 suburbs only,"User specifies suburbs directly. System maps to regions from suburbs.csv. Small suburb list = Standard plan recommendation (≤2 regions).","A.W.Swann Plumbing Fitzroy (Fitzroy SA); Aldinga Glass & Aluminium (Aldinga SA)",42951378229,Hyperlocal businesses tend to be in regional/outer suburbs. Suburb grouping via geo helpers.
Service Area,"Regional zone: covers a defined region like Northern Beaches or Inner West","User names the region. System maps to constituent suburbs from suburbs.csv regional data. Matched against *_regions.md guides for Sydney/Melbourne/Brisbane/Perth.","All Sydney Trees and Garden (Castle Hill NSW, 3 jobs)",61738670911,"Regional guides in resources/ define suburb groupings. LLM understands region names from guide context."
Service Area,Wide metro: works across all of Greater Sydney,"User says ""all of Sydney"" or similar. System maps to all Greater Sydney regions. Pro plan recommended (>5 regions).","Rainman Plumbing (Sydney NSW, 809 jobs across metro)",62931627641,Wide metro = many regions = higher plan recommendation.
Service Area,"Cross-boundary: lives in one area, works in a completely different region","ABR postcode used as hint but not constraint. User specifies actual work area regardless of registered address. No validation against ABN location.","5 Star Insulation (City: Lalor, State: ACT, Postcode: 3075 VIC — state mismatch)",22177321155,"293 state/postcode mismatches in contacts. System trusts user-specified work area over ABR data."
Service Area,"Interstate: ABN registered in one state, operates in another","ABN state determines licence lookup state. If operating interstate, licence lookup may miss (different state register). Web extraction fallback handles cross-state operation. Service area set independently of ABN state.","Akopia Services (City: Glenwood NSW, State: NT, 15 industries)",49146108801,"Licence lookup uses ABR state — may need to search multiple state registers for interstate operators. Currently only searches one state."
Profile,All data available — tests happy path renders cleanly,"Full profile card: hero with SS blue gradient, logo/photos from website, LLM-generated description + intro, licence info, categories, editable services + areas. Pencil toggle for editing.","Rainman Plumbing (website, 708 reviews, multiple trades, Sydney)",62931627641,"Happy path: website photos filtered by AI, Google reviews for evidence, full licence data, rich description."
Profile,"Minimal data — tests placeholder handling, description generation from sparse info","Monogram instead of logo. LLM generates description from ABN data + trade category only. Camera hint on hover. Upload prompt for photos. Placeholder handling for missing fields.","KURMA VENKATA RAJ SHEKHAR (no city, no website, 0 reviews, 0 jobs)",98452332950,"70% of contacts are ghosts. Description generated from minimal signals. Upload endpoint available for user photos."
Profile,"Mixed quality — some fields rich, others empty","Some cards have data, others show placeholders. Description quality varies by available context. Website photos may exist but licence data missing, or vice versa.","PRO TILING TECH PTY LTD (4 industries listed but 0 jobs, 0 reviews, no website, Craigieburn VIC)",50633894747,"Common scenario: business registered on SS with category data but never engaged. Profile builder works with whatever's available."
